Id,Code,Name,Retired,North Limit,South Limit,West Limit,East Limit
351,ars,Arabic, Najdi Spoken,,37.281,17.19,35.61,52.117
352,arv,Arbore,,5.163,4.673,36.607,36.99
353,arw,Arawak,,7.626,4.694,-61.48,-53.037
354,arx,Aruá,,-12.022,-12.201,-64.304,-62.349
355,ary,Arabic, Moroccan Spoken,,35.928,27.054,-13.411,-1.593
356,arz,Arabic, Egyptian Spoken,,31.603,29.905,29.756,32.391
357,asa,Asu,,-3.418,-4.792,37.22,38.445
358,asb,Assiniboine,,52.411,48.019,-108.894,-102.04
359,asc,Asmat, Casuarina Coast,,-5.958,-6.673,138.313,138.818
360,asd,Asas,,-5.649,-5.748,145.501,145.596
361,ase,American Sign Language,,33.8117,33.8117,-81.6121,-81.6121
362,asf,Australian Sign Language,,-30,-30,145,145
363,asg,Cishingini,,11.218,9.501,3.564,5.407
364,ash,Abishira,,-0.69386,-0.69386,-75.2183,-75.2183
365,asi,Buruwai,,-3.316,-3.877,133.195,133.46
366,asj,Saari,,6.682,6.571,10.528,10.671
367,ask,Ashkun,,34.936,34.684,70.012,70.737
368,asl,Asilulu,,-3.624,-3.71,127.908,127.997
369,asm,Assamese,,27.82,25.576,89.637,96.004
370,asn,Asurini of Xingu,,-3.992,-4.242,-52.538,-52.104
371,aso,Dano,,-5.838,-6.025,145.165,145.343
372,asp,Algerian Sign Language,,36.4762,36.4762,3.5462,3.5462
373,asq,Austrian Sign Language,,48.1197,48.1197,16.225,16.225
374,asr,Asuri,,23.483,21.519,83.358,88.478
375,ass,Ipulo,,6.473,6.176,9.514,9.78
376,ast,Asturian,,43.661,41.621,-6.901,-4.646
377,asu,Asurini, Tocantins,,-3.357,-3.742,-50.251,-49.547
378,asv,Asoa,,2.357,2.099,26.519,26.921
379,asw,Australian Aborigines Sign Language,,-25,-25,135,135
380,asx,Muratayak,,-5.691,-5.784,146.463,146.617
381,asy,Asmat, Yaosakor,,-5.538,-5.699,138.402,138.762
382,asz,As,,-0.676,-0.782,131.57,131.885
383,ata,Pele-Ata,,-5.422,-5.793,150.9,151.2
384,atb,Zaiwa,,25.561,23.772,97.392,98.84
385,atd,Manobo, Ata,,7.955,7.574,125.253,125.745
386,ate,Atemble,,-5.045,-5.109,144.782,144.829
387,atg,Ivbie North-Okpela-Arhe,,7.238,7.084,6.112,6.313
388,ati,Attié,,6.645,5.368,-4.26,-3.382
389,atj,Atikamekw,,48.798,47.116,-75.048,-73.593
390,atk,Ati,,11.393,10.758,122.169,122.829
391,atl,Agta, Mt. Iraya,,13.505,13.409,123.51,123.594
392,atm,Ata,,9.715,9.715,122.9,122.9
393,atn,Ashtiani,,37.7469,37.7469,48.6808,48.6808
394,ato,Atong,,6.123,5.984,9.633,9.809
395,atp,Atta, Pudtol,,18.236,18.189,121.358,121.399
396,atq,Aralle-Tabulahan,,-2.683,-2.932,119.084,119.415
397,atr,Waimiri-Atroarí,,0.196,-1.539,-61.586,-59.266
398,ats,Gros Ventre,,48.575,48.422,-108.922,-108.555
399,att,Atta, Pamplona,,18.52,18.428,121.241,121.358
400,atu,Reel,,6.491,6.17,30.242,30.747
401,atv,Altai, Northern,,52.857,50.427,86.195,88.867
402,atw,Atsugewi,,40.439,40.412,-120.681,-120.641
403,atx,Arutani,,5.001,3.455,-63.365,-62.9
404,aty,Aneityum,,-20.133,-20.249,169.746,169.905
405,atz,Arta,,16.458,16.38,121.603,121.71
406,aua,Asumboa,,-11.276,-11.318,166.462,166.535
407,aub,Alugu,,23,23,103,103
408,auc,Waorani,,-0.561,-1.396,-77.351,-76.015
409,aud,Anuta,,-11.596,-11.602,169.823,169.829
410,aue,Kx'au||'ein,,-19.938,-21.862,20.146,22.574
411,aug,Aguna,,7.673,7.324,1.636,1.853
412,auh,Aushi,,-9.658,-12.596,28.111,30.458
413,aui,Anuki,,-9.595,-9.695,149.691,149.953
414,auj,Awjilah,,29.453,28.984,20.717,21.646
415,auk,Heyo,,-3.748,-3.908,142.366,142.575
416,aul,Aulua,,-16.296,-16.405,167.653,167.74
417,aun,One, Molmo,,-3.355,-3.407,141.776,141.836
418,auo,Auyokawa,,9.85747,9.85747,11.322,11.322
419,aup,Makayam,,-8.307,-8.468,142.512,143.085
420,auq,Anus,,-2.136,-2.146,139.526,139.536
421,aur,Aruek,,-3.278,-3.488,142.555,142.876
422,aut,Austral,,-22.435,-23.902,-152.877,-147.584
423,auu,Auye,,-3.218,-3.632,135.917,136.275
424,auw,Awyi,,-2.938,-3.074,140.537,140.671
425,aux,Aurá,,-3.99,-4.307,-46.992,-46.757
426,auy,Awiyaana,,-6.461,-6.601,145.636,145.883
427,auz,Arabic, Uzbeki Spoken,,40.332,38.784,65.101,65.641
428,ava,Avar,,44.958,41.59,45.854,47.566
429,avb,Avau,,-6.196,-6.281,150.316,150.498
430,avd,Alviri-Vidari,,35.095,34.893,50.294,50.495
431,ave,Avestan,,31.541,31.541,53.633,53.633
432,avi,Avikam,,5.212,5.088,-5.511,-4.994
433,avl,Arabic, Eastern Egyptian Bedawi Spoken,,33.178,24.966,32.319,37.555
434,avn,Avatime,,6.936,6.772,0.363,0.463
435,avo,Agavotaguerra,,-13.192,-13.389,-53.547,-53.332
436,avs,Aushiri,,-3.3196,-3.3196,-74.5411,-74.5411
437,avt,Au,,-3.472,-3.588,141.973,142.236
438,avu,Avokaya,,5.235,3.668,29.559,30.438
439,avv,Avá-Canoeiro,,-11.631,-13.882,-50.155,-47.797
440,awa,Awadhi,,28.69,26.125,80.308,83.441
441,awb,Awa,,-6.577,-6.726,145.586,145.842
442,awc,Cicipu,,11.156,10.832,5.366,5.715
443,awe,Awetí,,-12.81,-13.059,-53.719,-53.452
444,awh,Awbono,,-5.013,-5.142,139.533,139.916
445,awi,Aekyom,,-5.345,-6.165,141.054,142.011
446,awk,Awabakal,,-33.1285,-33.1285,151.436,151.436
447,awm,Arawum,,-5.485,-5.574,145.871,145.936
448,awn,Awngi,,11.382,10.487,36.281,37.102
449,awo,Awak,,9.894,9.835,11.265,11.394
450,awr,Awera,,-2.671,-2.754,136.017,136.11
451,aws,Awyu, South,,-6.813,-7.472,139.343,139.733
452,awt,Araweté,,-4.786,-5.02,-52.637,-52.363
453,awu,Awyu, Central,,-5.747,-6.852,139.385,140.0
454,awv,Awyu, Jair,,-6.55,-7.032,139.863,140.345
455,aww,Awun,,-3.738,-3.867,141.922,142.076
456,awx,Awara,,-6.069,-6.257,146.313,146.43
457,awy,Awyu, Edera,,-6.755,-7.253,139.715,140.114
458,axb,Abipon,,-29,-29,-61,-61
459,axg,Arára, Mato Grosso,,-13.175,-13.175,-55.869,-55.869
